"Date","Price","Open","High","Low","Vol.","Change %"
"25-10-2024","1,353.32","1,440.65","1,440.65","1,330.31","7.14M","-6.06%"
"24-10-2024","1,440.66","1,430.69","1,458.93","1,424.21","6.04M","1.21%"
"23-10-2024","1,423.43","1,369.06","1,465.66","1,336.09","10.12M","4.47%"
"22-10-2024","1,362.48","1,452.34","1,453.67","1,349.44","8.45M","-5.63%"
"21-10-2024","1,443.81","1,439.35","1,485.32","1,436.05","8.40M","1.39%"
"18-10-2024","1,423.96","1,411.37","1,479.99","1,366.06","17.13M","0.41%"
"17-10-2024","1,418.21","1,508.48","1,517.89","1,399.04","10.88M","-5.84%"
"16-10-2024","1,506.25","1,523.96","1,540.61","1,472.29","18.92M","-4.85%"
"15-10-2024","1,583.00","1,618.89","1,628.02","1,555.60","12.61M","-1.19%"
"14-10-2024","1,602.07","1,510.97","1,662.13","1,510.95","38.13M","6.96%"
"11-10-2024","1,497.79","1,420.69","1,515.63","1,415.26","19.46M","6.65%"
"10-10-2024","1,404.42","1,405.37","1,448.68","1,387.60","10.44M","0.84%"
"09-10-2024","1,392.73","1,434.68","1,464.00","1,385.72","16.57M","-1.45%"
"08-10-2024","1,413.25","1,287.07","1,424.03","1,276.18","21.07M","10.88%"
"07-10-2024","1,274.61","1,395.71","1,419.03","1,259.49","18.47M","-6.86%"
"04-10-2024","1,368.45","1,325.76","1,397.14","1,282.79","22.81M","3.91%"
"03-10-2024","1,316.97","1,265.80","1,410.70","1,247.50","33.67M","2.45%"
"01-10-2024","1,285.42","1,247.48","1,305.77","1,229.19","10.90M","4.73%"
"30-09-2024","1,227.38","1,192.52","1,274.13","1,192.50","8.31M","1.06%"
"27-09-2024","1,214.49","1,252.48","1,256.34","1,207.51","2.93M","-3.01%"
"26-09-2024","1,252.16","1,310.77","1,312.42","1,244.15","5.73M","-2.05%"
"25-09-2024","1,278.41","1,330.09","1,333.42","1,274.49","4.75M","-3.58%"
"24-09-2024","1,325.81","1,316.43","1,358.07","1,302.84","7.34M","1.22%"
"23-09-2024","1,309.89","1,332.75","1,399.04","1,297.80","15.61M","-1.32%"
"20-09-2024","1,327.41","1,244.15","1,349.08","1,225.51","20.52M","7.38%"
"19-09-2024","1,236.22","1,297.78","1,297.78","1,191.17","18.74M","-4.75%"
"18-09-2024","1,297.83","1,115.24","1,314.10","1,114.24","46.90M","16.87%"
"17-09-2024","1,110.47","1,139.22","1,184.86","1,104.24","12.25M","-2.86%"
"16-09-2024","1,143.15","985.99","1,152.21","984.33","31.98M","18.23%"
"13-09-2024","966.90","963.34","977.83","957.34","2.26M","1.17%"
"12-09-2024","955.68","962.01","967.67","943.27","1.15M","-0.45%"
"11-09-2024","959.98","949.68","981.30","942.29","2.19M","1.10%"
"10-09-2024","949.58","946.02","956.01","937.08","1.33M","0.56%"
"09-09-2024","944.29","939.09","949.02","913.14","1.67M","0.37%"
"06-09-2024","940.77","966.70","976.81","934.36","2.17M","-2.30%"
"05-09-2024","962.87","922.04","964.34","922.04","4.59M","4.72%"
"04-09-2024","919.49","901.05","937.69","899.72","2.27M","1.04%"
"03-09-2024","910.03","919.40","925.43","899.42","1.31M","-1.20%"
"02-09-2024","921.07","945.85","945.85","916.37","1.69M","-2.38%"
"30-08-2024","943.57","945.69","949.35","934.69","1.99M","0.74%"
"29-08-2024","936.61","927.37","945.02","920.10","3.24M","1.12%"
"28-08-2024","926.25","921.04","944.49","913.21","4.71M","2.98%"
"27-08-2024","899.47","910.38","917.19","893.06","1.47M","-1.00%"
"26-08-2024","908.59","917.84","921.70","902.75","1.15M","-0.51%"
"23-08-2024","913.26","908.33","932.69","899.75","4.19M","0.54%"
"22-08-2024","908.33","896.72","916.04","889.22","2.29M","1.37%"
"21-08-2024","896.02","905.38","917.54","886.83","1.63M","-0.48%"
"20-08-2024","900.38","893.89","920.37","883.40","4.05M","1.00%"
"19-08-2024","891.46","890.04","906.05","881.40","2.37M","1.14%"
"16-08-2024","881.38","857.08","891.72","846.94","3.86M","3.37%"
"14-08-2024","852.65","869.40","869.74","841.09","1.25M","-1.25%"
"13-08-2024","863.43","862.08","872.00","847.42","1.87M","0.79%"
"12-08-2024","856.63","866.07","881.06","854.75","1.95M","-2.98%"
"09-08-2024","882.90","874.38","893.06","853.47","5.32M","1.95%"
"08-08-2024","866.01","885.06","885.06","842.76","10.93M","8.39%"
"07-08-2024","798.97","792.79","804.78","780.10","1.84M","3.50%"
"06-08-2024","771.92","811.23","829.43","768.17","2.74M","-2.94%"
"05-08-2024","795.32","814.11","828.97","779.47","4.51M","-6.87%"
"02-08-2024","853.98","857.75","872.40","851.70","2.21M","-3.01%"
"01-08-2024","880.48","869.74","886.06","856.50","5.43M","3.39%"
"31-07-2024","851.57","791.16","868.64","790.79","10.28M","5.98%"
"30-07-2024","803.55","812.78","819.42","802.03","953.78K","-1.15%"
"29-07-2024","812.86","821.54","823.75","807.45","1.33M","-0.30%"
"26-07-2024","815.28","823.92","825.37","806.68","1.35M","-0.84%"
"25-07-2024","822.20","799.45","829.60","786.48","4.32M","2.27%"
"24-07-2024","803.95","747.82","811.11","747.36","6.47M","8.41%"
"23-07-2024","741.59","735.10","764.48","704.52","4.47M","0.81%"
"22-07-2024","735.61","739.49","765.48","726.17","1.67M","-1.97%"
"19-07-2024","750.40","761.48","762.94","748.09","1.70M","-2.07%"
"18-07-2024","766.28","787.79","788.43","760.81","2.26M","-2.99%"
"16-07-2024","789.93","789.46","800.97","787.79","1.23M","0.01%"
"15-07-2024","789.88","792.79","795.79","776.14","1.99M","0.32%"
"12-07-2024","787.39","786.88","794.46","778.90","1.86M","1.34%"
"11-07-2024","776.98","756.82","795.46","756.82","7.04M","3.47%"
"10-07-2024","750.90","776.47","794.12","747.82","6.90M","-3.52%"
"09-07-2024","778.33","796.12","817.42","775.47","3.50M","-1.84%"
"08-07-2024","792.91","802.78","806.11","784.80","1.79M","-1.04%"
"05-07-2024","801.23","822.10","822.30","797.79","2.51M","-2.12%"
"04-07-2024","818.56","818.77","832.43","817.44","1.62M","-0.02%"
"03-07-2024","818.69","831.10","835.93","815.11","2.18M","-1.18%"
"02-07-2024","828.47","852.75","852.75","827.10","3.24M","-3.38%"
"01-07-2024","857.45","866.07","872.65","856.10","1.75M","-0.33%"
"28-06-2024","860.26","859.74","880.30","852.77","3.30M","1.13%"
"27-06-2024","850.68","849.42","854.42","841.09","1.75M","0.50%"
"26-06-2024","846.45","843.42","851.43","833.10","1.61M","0.81%"
"25-06-2024","839.61","837.76","847.75","832.76","1.36M","0.90%"
"24-06-2024","832.08","849.42","849.42","830.10","2.89M","-2.43%"
"21-06-2024","852.82","879.73","889.39","848.42","2.25M","-3.00%"
"20-06-2024","879.21","906.05","906.05","863.41","2.45M","-2.58%"
"19-06-2024","902.47","912.04","912.04","899.38","1.30M","-1.06%"
"18-06-2024","912.16","919.37","920.90","907.71","1.41M","-0.74%"
"14-06-2024","919.00","912.71","925.28","899.97","1.58M","0.83%"
"13-06-2024","911.44","902.38","915.57","901.00","1.56M","1.23%"
"12-06-2024","900.33","894.39","905.71","889.39","2.23M","1.14%"
